x1,date,monitors,transect_name,vp_axis,site,transect_length,num_quad,transect_distance,transect_side,vp_zone,quadrat_notes,percent_cover,psoc,cover_category,habitat,year
58888,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,0,Left,NA,NA,1,Avena_fatua,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
1580,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,0,Left,NA,NA,10,Bare Ground,BARE GROUND,Seasonal Brackish Marsh,2021
58889,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,0,Left,NA,NA,2,Bromus_diandrus,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
25359,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,0,Left,NA,NA,1,Distichlis_spicata,NATIVE COVER,Seasonal Brackish Marsh,2021
25360,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,0,Left,NA,NA,1,Elymus_triticoides,NATIVE COVER,Seasonal Brackish Marsh,2021
58887,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,0,Left,NA,NA,13,Festuca_perennis,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
79653,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,0,Left,NA,NA,25,Natural Thatch,THATCH,Seasonal Brackish Marsh,2021
58886,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,0,Left,NA,NA,18,Plantago_coronopus,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
93848,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,0,Left,NA,NA,16,erosion_control,OTHER COVER,Seasonal Brackish Marsh,2021
1581,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,3,Right,NA,NA,22,Bare Ground,BARE GROUND,Seasonal Brackish Marsh,2021
75303,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,3,Right,NA,NA,4,Cotula_coronopifolia,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
41709,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,3,Right,NA,NA,33,Distichlis_spicata,NATIVE COVER,Seasonal Brackish Marsh,2021
75306,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,3,Right,NA,NA,1,Hordeum_murinum,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
75305,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,3,Right,NA,NA,1,Medicago_polymorpha,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
79654,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,3,Right,NA,NA,10,Natural Thatch,THATCH,Seasonal Brackish Marsh,2021
75301,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,3,Right,NA,NA,20,Plantago_coronopus,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
75304,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,3,Right,NA,NA,1,Polypogon_monspeliensis,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
41710,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,3,Right,NA,NA,7,Salicornia_pacifica,NATIVE COVER,Seasonal Brackish Marsh,2021
75302,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,3,Right,NA,NA,3,Spergularia_sp,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
1582,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,6,Left,NA,NA,2,Bare Ground,BARE GROUND,Seasonal Brackish Marsh,2021
36043,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,6,Left,NA,NA,1,Bolboschoenus_maritimus,NATIVE COVER,Seasonal Brackish Marsh,2021
36041,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,6,Left,NA,NA,1,Cyperus_eragrostis,NATIVE COVER,Seasonal Brackish Marsh,2021
36037,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,6,Left,NA,NA,45,Distichlis_spicata,NATIVE COVER,Seasonal Brackish Marsh,2021
36042,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,6,Left,NA,NA,1,Epilobium_ciliatum,NATIVE COVER,Seasonal Brackish Marsh,2021
36038,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,6,Left,NA,NA,1,Erigeron_canadensis,NATIVE COVER,Seasonal Brackish Marsh,2021
36044,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,6,Left,NA,NA,1,Laennecia_coulteri,NATIVE COVER,Seasonal Brackish Marsh,2021
69564,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,6,Left,NA,NA,1,Lythrum_hyssopifolia,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
79655,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,6,Left,NA,NA,7,Natural Thatch,THATCH,Seasonal Brackish Marsh,2021
69563,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,6,Left,NA,NA,2,Plantago_coronopus,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
69560,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,6,Left,NA,NA,22,Polypogon_monspeliensis,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
69561,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,6,Left,NA,NA,2,Pseudognaphalium_luteoalbum,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
36040,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,6,Left,NA,NA,3,Salicornia_pacifica,NATIVE COVER,Seasonal Brackish Marsh,2021
69562,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,6,Left,NA,NA,2,Sonchus_sp,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
36039,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,6,Left,NA,NA,8,Symphyotrichum_subulatum,NATIVE COVER,Seasonal Brackish Marsh,2021
69565,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,6,Left,NA,NA,1,Trifolium_hirtum,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
46349,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,9,Right,NA,NA,1,Atriplex_prostrata,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
1583,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,9,Right,NA,NA,33,Bare Ground,BARE GROUND,Seasonal Brackish Marsh,2021
46350,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,9,Right,NA,NA,1,Centaurium_sp.,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
12859,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,9,Right,NA,NA,6,Cyperus_eragrostis,NATIVE COVER,Seasonal Brackish Marsh,2021
12857,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,9,Right,NA,NA,12,Distichlis_spicata,NATIVE COVER,Seasonal Brackish Marsh,2021
12860,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,9,Right,NA,NA,2,Laennecia_coulteri,NATIVE COVER,Seasonal Brackish Marsh,2021
79656,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,9,Right,NA,NA,15,Natural Thatch,THATCH,Seasonal Brackish Marsh,2021
46347,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,9,Right,NA,NA,7,Polypogon_monspeliensis,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
46348,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,9,Right,NA,NA,1,Rumex_crispus,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
46346,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,9,Right,NA,NA,5,Sonchus_sp,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
12858,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,9,Right,NA,NA,17,Symphyotrichum_subulatum,NATIVE COVER,Seasonal Brackish Marsh,2021
58087,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,12,Left,NA,NA,3,Atriplex_prostrata,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
1584,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,12,Left,NA,NA,0,Bare Ground,BARE GROUND,Seasonal Brackish Marsh,2021
24626,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,12,Left,NA,NA,31,Bolboschoenus_maritimus,NATIVE COVER,Seasonal Brackish Marsh,2021
24625,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,12,Left,NA,NA,35,Distichlis_spicata,NATIVE COVER,Seasonal Brackish Marsh,2021
24624,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,12,Left,NA,NA,32,Laennecia_coulteri,NATIVE COVER,Seasonal Brackish Marsh,2021
79657,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,12,Left,NA,NA,2,Natural Thatch,THATCH,Seasonal Brackish Marsh,2021
55962,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,15,Right,NA,NA,12,Atriplex_prostrata,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
1585,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,15,Right,NA,NA,3,Bare Ground,BARE GROUND,Seasonal Brackish Marsh,2021
22538,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,15,Right,NA,NA,6,Distichlis_spicata,NATIVE COVER,Seasonal Brackish Marsh,2021
